id,category_id,japanese,reading,english,sort_order,audio_file
adv-1,cat-100,息子【むすこ】,むすこ,son,1,a_1_musuko.mp3
adv-2,cat-100,娘【むすめ】,むすめ,daughter,2,a_2_musume.mp3
adv-3,cat-100,兄【あに】,あに,older brother,3,a_3_ani.mp3
adv-4,cat-100,弟【おとうと】,おとうと,younger brother,4,a_4_otouto.mp3
adv-5,cat-100,姉【あね】,あね,older sister,5,a_5_ane.mp3
adv-6,cat-100,妹【いもうと】,いもうと,younger sister,6,a_6_imouto.mp3
adv-7,cat-100,家族【かぞく】,かぞく,family,7,a_7_kazoku.mp3
adv-8,cat-100,祖父【そふ】,そふ,grandfather,8,a_8_sofu.mp3
adv-9,cat-100,祖母【そぼ】,そぼ,grandmother,9,a_9_sobo.mp3
adv-10,cat-100,夫【おっと】,おっと,husband,10,a_10_otto.mp3
adv-11,cat-100,妻【つま】,つま,wife,11,a_11_tsuma.mp3
adv-12,cat-100,大人【おとな】,おとな,adult,12,a_12_otona.mp3
adv-13,cat-100,隣【となり】,となり,neighbor / next door,13,a_13_tonari.mp3
adv-14,cat-100,王【おう】,おう,king,14,a_14_ou.mp3
adv-15,cat-100,女王【じょおう】,じょおう,queen,15,a_15_joou.mp3
adv-16,cat-100,大統領【だいとうりょう】,だいとうりょう,president,16,a_16_daitouryou.mp3
adv-17,cat-101,先生【せんせい】,せんせい,teacher,1,a_17_sensei.mp3
adv-18,cat-101,学生【がくせい】,がくせい,student,2,a_18_gakusei.mp3
adv-19,cat-101,医者【いしゃ】,いしゃ,doctor,3,a_19_isha.mp3
adv-20,cat-101,患者【かんじゃ】,かんじゃ,patient,4,a_20_kanja.mp3
adv-21,cat-101,弁護士【べんごし】,べんごし,lawyer,5,a_21_bengoshi.mp3
adv-22,cat-101,警察【けいさつ】,けいさつ,police,6,a_22_keisatsu.mp3
adv-23,cat-101,兵士【へいし】,へいし,soldier,7,a_23_heishi.mp3
adv-24,cat-101,軍【ぐん】,ぐん,army,8,a_24_gun.mp3
adv-25,cat-101,記者【きしゃ】,きしゃ,reporter,9,a_25_kisha.mp3
adv-26,cat-101,作家【さっか】,さっか,author,10,a_26_sakka.mp3
adv-27,cat-101,芸術家【げいじゅつか】,げいじゅつか,artist,11,a_27_geijutsuka.mp3
adv-28,cat-101,俳優【はいゆう】,はいゆう,actor,12,a_28_haiyuu.mp3
adv-29,cat-102,町【まち】,まち,town,1,a_29_machi.mp3
adv-30,cat-102,都市【とし】,とし,city,2,a_30_toshi.mp3
adv-31,cat-102,学校【がっこう】,がっこう,school,3,a_31_gakkou.mp3
adv-32,cat-102,大学【だいがく】,だいがく,university,4,a_32_daigaku.mp3
adv-33,cat-102,病院【びょういん】,びょういん,hospital,5,a_33_byouin.mp3
adv-34,cat-102,銀行【ぎんこう】,ぎんこう,bank,6,a_34_ginkou.mp3
adv-35,cat-102,図書館【としょかん】,としょかん,library,7,a_35_toshokan.mp3
adv-36,cat-102,公園【こうえん】,こうえん,park,8,a_36_kouen.mp3
adv-37,cat-102,市場【いちば】,いちば,market,9,a_37_ichiba.mp3
adv-38,cat-102,教会【きょうかい】,きょうかい,church,10,a_38_kyoukai.mp3
adv-39,cat-102,劇場【げきじょう】,げきじょう,theater,11,a_39_gekijou.mp3
adv-40,cat-102,空港【くうこう】,くうこう,airport,12,a_40_kuukou.mp3
adv-41,cat-102,橋【はし】,はし,bridge,13,a_41_hashi.mp3
adv-42,cat-102,農場【のうじょう】,のうじょう,farm,14,a_42_noujou.mp3
adv-43,cat-102,裁判所【さいばんしょ】,さいばんしょ,court,15,a_43_saibansho.mp3
adv-44,cat-102,宇宙【うちゅう】,うちゅう,space (outer),16,a_44_uchuu.mp3
adv-45,cat-102,世界【せかい】,せかい,world,17,a_45_sekai.mp3
adv-46,cat-103,電車【でんしゃ】,でんしゃ,train,1,a_46_densha.mp3
adv-47,cat-103,飛行機【ひこうき】,ひこうき,airplane,2,a_47_hikouki.mp3
