id,category_id,title_minihongo,title_english,title_japanese,sort_order,audio_file
dgrp-1,cat-73,買【か】う所【ところ】で,At a Shop,店で,1,d_1.mp3
dgrp-2,cat-73,道【みち】で人【ひと】と会【あ】う,Meeting a Friend on the Street,道で友人に会う,2,d_2.mp3
dgrp-3,cat-73,家【いえ】の夜【よる】の食【た】べ物【もの】,Family Dinner,家族の夕食,3,d_3.mp3
dgrp-4,cat-73,道【みち】を聞【き】く,Asking for Directions,道を尋ねる,4,d_4.mp3
dgrp-5,cat-73,日【にち】の始【はじ】まり,Morning Routine,朝の日課,5,d_5.mp3
dgrp-6,cat-74,生【い】きるとは何【なに】か,What Is Life?,生きるとは何か,6,d_6.mp3
dgrp-7,cat-74,夜【よる】の光【ひかり】,The Lights of Night,夜の光,7,d_7.mp3
dgrp-8,cat-74,なぜ人【ひと】は戦【たたか】うの？,Why Do People Fight?,なぜ人は戦うのか,8,d_8.mp3
dgrp-9,cat-74,人【ひと】だけが持【も】つ物【もの】,What Only Humans Have,人だけが持つもの,9,d_9.mp3
dgrp-10,cat-74,時【とき】について,On Time,時について,10,d_10.mp3
dgrp-11,cat-74,知【し】ること,Learning,知ること,11,d_11.mp3
dgrp-12,cat-74,海【うみ】の外【そと】,The Sea,海の向こう,12,d_12.mp3
dgrp-13,cat-74,新【あたら】しいものと前【まえ】のもの,Old and New,新しいものと古いもの,13,d_13.mp3
dgrp-14,cat-74,音【おと】と心【こころ】,Music and Feelings,音楽と心,14,d_14.mp3
dgrp-15,cat-90,体【からだ】が悪【わる】い時【とき】,At the Doctor,医者で,15,
dgrp-16,cat-90,体【からだ】を良【よ】くする物【もの】を買【か】う,At the Pharmacy,薬を買う,16,
dgrp-17,cat-90,助【たす】けてください,Emergency - Asking for Help,助けてください,17,
dgrp-18,cat-91,えきで,At the Train Station,駅で,18,
dgrp-19,cat-91,食【た】べる所【ところ】で,At a Restaurant,食べる所で,19,
dgrp-20,cat-91,コンビニで,At the Convenience Store,コンビニで,20,
dgrp-21,cat-91,音【おと】で言【い】う物【もの】で人【ひと】に言【い】う,Making a Phone Appointment,電話で予約する,21,
dgrp-22,cat-91,来【き】た事【こと】を書【か】く所【ところ】をする所【ところ】で,At City Hall,届け出をする所で,22,
dgrp-23,cat-92,私【わたし】の事【こと】を言【い】う,Introducing Yourself,自己紹介,23,
dgrp-24,cat-92,もう一【ひと】つください,Asking Someone to Repeat,もう一度お願いします,24,
dgrp-25,cat-92,家【いえ】が近【ちか】い人【ひと】,The Neighbor,隣の人,25,
dgrp-26,cat-92,空【そら】の事【こと】の話【はなし】,Weather Small Talk,天気の話,26,
