id,dialog_group_id,line_number,speaker_minihongo,speaker_english,speaker_japanese,minihongo,english,japanese
dlg-1,dgrp-1,1,A,A,A,すみません。この食【た】べ物【もの】は何【なに】ですか。,Excuse me. What is this food?,すみません。この食べ物は何ですか。
dlg-2,dgrp-1,2,B,B,B,これは良【よ】い食【た】べ物【もの】です。水【みず】と草【くさ】で作【つく】りました。,This is good food. We made it with water and greens.,これはおいしい食べ物です。水と野菜で作りました。
dlg-3,dgrp-1,3,A,A,A,これをください。他【ほか】の物【もの】もありますか。,Please give me this. Do you have other things too?,これをください。他の物もありますか。
dlg-4,dgrp-1,4,B,B,B,はい。そこに新【あたら】しい物【もの】があります。,Yes. There are new things over there.,はい。あちらに新しい品物があります。
dlg-5,dgrp-1,5,A,A,A,それも見【み】てもいいですか。,May I look at that too?,それも見てもいいですか。
dlg-6,dgrp-1,6,B,B,B,どうぞ。手【て】で持【も】ってください。,Go ahead. Please hold it in your hands.,どうぞ。手に取ってご覧ください。
dlg-7,dgrp-1,7,A,A,A,これを買【か】います。ありがとうございます。,I'll buy this. Thank you.,これを買います。ありがとうございます。
dlg-8,dgrp-1,8,B,B,B,ありがとうございます。また来【き】てください。,Thank you. Please come again.,ありがとうございます。またお越しください。
dlg-9,dgrp-2,1,A,A,A,あ！どこに行【い】きますか。,Oh! Where are you going?,あ！どこに行くんですか。
dlg-10,dgrp-2,2,B,B,B,今【いま】は海【うみ】に行【い】きます。あなたは？,I'm heading to the sea now. And you?,今から海に行くところです。あなたは？
dlg-11,dgrp-2,3,A,A,A,私【わたし】は家【いえ】に来【き】ます。体【からだ】が少【すこ】し悪【わる】いです。,I'm going home. My body feels a little bad.,私は家に帰ります。体の調子が少し悪いんです。
dlg-12,dgrp-2,4,B,B,B,体【からだ】が悪【わる】いですか？水【みず】を飲【の】んで、寝【ね】てください。,Your body feels bad? Please drink water and sleep.,体調が悪いんですか？水を飲んで、休んでください。
dlg-13,dgrp-2,5,A,A,A,ありがとうございます。海【うみ】の空気【くうき】はとても良【よ】いですね。,"Thank you. The sea air is really good, isn't it.",ありがとうございます。海の空気はとても気持ちいいですよね。
dlg-14,dgrp-2,6,B,B,B,そうですね。でも今【いま】は風【かぜ】が強【つよ】いです。,It is. But right now the wind is strong.,そうですね。でも今日は風が強いです。
dlg-15,dgrp-2,7,A,A,A,良【よ】く守【まも】ってください。また会【あ】いましょう！,Please take care of yourself. Let's meet again!,お気をつけて。また会いましょう！
dlg-16,dgrp-2,8,B,B,B,はい、また会【あ】いましょう！,"Yes, let's meet again!",はい、また会いましょう！
dlg-17,dgrp-3,1,母【はは】,Mother,母,座【すわ】ってください。食【た】べ物【もの】ができました。,Everyone please sit down. The food is ready.,座ってください。ご飯ができましたよ。
dlg-18,dgrp-3,2,子供【こども】,Child,子供,今【いま】は何【なに】を食【た】べますか？,What are we eating now?,今日は何を食べるの？
dlg-19,dgrp-3,3,母【はは】,Mother,母,草【くさ】と水【みず】で作【つく】りました。体【からだ】に良【よ】いです。,I made it with greens and water. It's good for your body.,野菜と水で作りました。体にいいですよ。
dlg-20,dgrp-3,4,父【ちち】,Father,父,とても良【よ】い物【もの】ですね。今【いま】まで体【からだ】がとても重【おも】かったです。,It looks very good. My body has felt very heavy until now.,とてもおいしそうですね。最近ずっと体が重かったんです。
dlg-21,dgrp-3,5,子供【こども】,Child,子供,父【ちち】、今【いま】の日【ひ】は楽【たの】しかったですか。,"Father, was this day enjoyable?",お父さん、今日は楽しかった？
dlg-22,dgrp-3,6,父【ちち】,Father,父,まあまあでした。でも家【いえ】に来【き】ることがもっと好【す】きです。,More or less. But coming home is what I like most.,まあまあだったよ。でも家に帰るのが一番好きだ。
dlg-23,dgrp-3,7,母【はは】,Mother,母,この物【もの】を全部【ぜんぶ】食【た】べてください。,Please eat all of this.,これを全部食べてくださいね。
dlg-24,dgrp-3,8,子供【こども】,Child,子供,はい！とても良【よ】いです。ありがとう、母【はは】。,"Yes! It's very good. Thank you, Mother.",うん！とてもおいしい。ありがとう、お母さん。
dlg-25,dgrp-4,1,A,A,A,すみません。大【おお】きい建物【たてもの】はどこですか。,Excuse me. Where is the big building?,すみません。大きい建物はどこですか。
dlg-26,dgrp-4,2,B,B,B,ここから近【ちか】くないです。,It's not close from here.,ここからは近くないですよ。
dlg-27,dgrp-4,3,A,A,A,どう行【い】ったらいいですか。,How should I get there?,どう行ったらいいですか。
dlg-28,dgrp-4,4,B,B,B,この道【みち】を行【い】ってください。大【おお】きい木【き】の前【まえ】で右【みぎ】に入【はい】ってください。,"Please go along this road. At the big tree, turn right.",この道をまっすぐ行ってください。大きな木のところで右に曲がってください。
dlg-29,dgrp-4,5,A,A,A,木【き】の前【まえ】で右【みぎ】ですね。その後【あと】は？,Right at the tree. And after that?,木のところで右ですね。その後は？
dlg-30,dgrp-4,6,B,B,B,建物【たてもの】を見【み】ることができます。それです。,You can see the building. That's it.,建物が見えます。それです。
dlg-31,dgrp-4,7,A,A,A,足【あし】で行【い】けますか。,Can I go on foot?,歩いて行けますか。
dlg-32,dgrp-4,8,B,B,B,はい、足【あし】で行【い】けます。近【ちか】くないですが、良【よ】い道【みち】です。,"Yes, you can go on foot. It's not close, but it's a good road.",はい、歩いて行けます。近くはないですが、いい道ですよ。
dlg-33,dgrp-4,9,A,A,A,ありがとうございます！,Thank you!,ありがとうございます！
dlg-34,dgrp-5,1,母【はは】,Mother,母,もう立【た】ってください！日【ひ】が出【で】ています。,Please get up already! The sun is out.,もう起きなさい！日が出ていますよ。
dlg-35,dgrp-5,2,子供【こども】,Child,子供,まだ目【め】が重【おも】いです。もう少【すこ】し寝【ね】たいです。,My eyes are still heavy. I want to sleep a little more.,まだ眠いよ。もう少し寝たい。
