id,category_id,minihongo,english,japanese,explanation_minihongo,explanation_english,explanation_japanese,sort_order,core
gram-1,cat-16,言【こと】葉【ば】の来【く】る所【ところ】,Word Order,語順,所【ところ】を作【つく】って、それからする事【こと】。[誰【だれ】] [いつ] [どこ] [何【なに】] → [する事【こと】]。する事【こと】がいつも終【お】わりに来【く】る。一【ひと】つにする言【こと】葉【ば】がどこに何【なに】が来【く】るか見【み】せる。,"Set the stage, then act. [who] [when] [where] [what] -> [action]. Verb always comes last. Particles mark which slot each word fills. Think of it like a movie: set the scene first, then roll.",場を設定してから動作。[誰が] [いつ] [どこで] [何を] → [動詞]。動詞は常に最後。助詞が各語の役割を示す。映画のように、まず場面を作り、それから動く。,1,yes
gram-2,cat-16,言【い】わない事【こと】,Omission,省略,知【し】っている事【こと】は言【い】わない。誰【だれ】が、何【なに】を - 知【し】るなら言【い】わなくていい。これがいつもの事【こと】。,"Drop what's known. Subjects, objects - anything established vanishes. This is the default.",既知の情報は省略する。主語・目的語など、文脈から分かるものは言わなくてよい。これが日本語の基本。,2,
gram-3,cat-16,ある / いる,Existence / Possession,ある / いる,ある事【こと】は持【も】つ事【こと】と一【ひと】つ。「持【も】つ」のする事【こと】はない。生【い】き物【もの】はいる、他【ほか】は全部【ぜんぶ】ある。,"Existence IS possession. No separate ""have"" verb. いる for living, ある for everything else.",存在がそのまま所有を表す。「have」に当たる動詞は不要。生き物には「いる」、それ以外は「ある」を使う。,3,
gram-14,cat-18,四【よっ】つの方【かた】,Four Forms,四つの活用形,四【よっ】つのやり方【かた】がある。これは言【こと】葉【ば】を変【か】えるもの。る = 今【いま】と後【あと】。た = 前【まえ】、終【お】わった事【こと】。ない = しない。なかった = 前【まえ】にしなかった。全部【ぜんぶ】この四【よっ】つの上【うえ】に作【つく】る。,"Four filters on any verb: る (present/future) / た (done) / ない (not) / なかった (wasn't). Like Instagram filters on a photo - the verb stays the same, you just change what surrounds it. Everything else layers on top of these four.",動詞に四つのフィルター: る（現在・未来）/ た（完了）/ ない（否定）/ なかった（過去否定）。写真のフィルターのように動詞はそのまま、周りを変える。すべてこの四つの上に構築する。,4,yes
gram-15,cat-18,ての方【かた】,Te-form: Action Chaining,て形: 動作の連結,する事【こと】を本当【ほんとう】に起【お】こる方【かた】で一【ひと】つにする。「と」「で」「のために」はいらない - する事【こと】をそのまま言【い】う。時【とき】は終【お】わりだけ。く→いて、む→んで、つ→って、る→て。,"Chain actions in the order they happen. No ""to"", ""by"", or ""with"" needed - just stack verbs. Write, read, sleep = 書いて読んで寝た. One tense at the end only. Formation: く→いて, む→んで, つ→って, る→て.",動作を実際の順に連結する。「to」「by」「with」は不要。動詞を順に並べるだけ。書いて読んで寝た。時制は文末のみ。活用: く→いて、む→んで、つ→って、る→て。,5,yes
gram-40,cat-18,て + もっと,Te-form Extensions,て形の拡張,ての方【かた】にもっと足【た】す。欲【ほ】しい事【こと】 + ください、今【いま】している + いる、していい + もいい、してはいけない + はいけない。,"Layer more onto te-form. Request (+ください), ongoing right now (+いる), permission (+もいい), prohibition (+はいけない). Same te-form, different endings.",て形にさらに付け足す。依頼（+ください）、進行（+いる）、許可（+もいい）、禁止（+はいけない）。同じて形、違う語尾。,6,
gram-16,cat-18,られる / える,Potential Form,可能形,できる事【こと】。る-のする事【こと】: る をなくして、られる を足【た】す。他【ほか】: え の方【かた】 + る。する → できる。,"Ability. る-verbs: drop る, add られる. Other verbs: え-row + る. する → できる.",可能を表す。一段動詞: る を取って られる を付ける。五段動詞: え段 + る。する → できる。,7,
gram-36,cat-18,ないでください,Please Don't,否定の依頼,しないでほしい事【こと】を言【い】う。する事【こと】のない方【かた】 + で + ください。,"Negative request. V-ない + で + ください. 入らないでください = please don't enter. 触らないでください = please don't touch.",否定の依頼。動詞のない形 + で + ください。入らないでください = 入らないようにお願いする。,8,
gram-31,cat-80,ます / です,Polite Form,丁寧形,よく知【し】らない人【ひと】と話【はな】す時【とき】はますを使【つか】う。する事【こと】の始【はじ】め + ます。だ → です。いつも同【おな】じ方【かた】で変【か】わる。ます / ました / ません / ませんでした。,"The politeness filter. Verb stem + ます. だ → です. Always regular: ます / ました / ません / ませんでした. Simpler than plain form - zero sound changes, zero exceptions.",よく知らない人と話す時はます形を使う。動詞の連用形 + ます。だ → です。常に規則的: ます / ました / ません / ませんでした。普通形より簡単 - 音便変化なし。,9,yes
gram-38,cat-80,いつますを使【つか】うか,When to Use Polite Form,丁寧形の使い分け,知【し】らない人【ひと】にはますを使【つか】う。買【か】う所【ところ】の人【ひと】、教【おし】える人【ひと】、他【ほか】の人【ひと】に使【つか】う。家【いえ】の人【ひと】と好【す】きな人【ひと】にはるの方【かた】でいい。ますは人【ひと】への良【よ】い気【き】持【も】ちを見【み】せる。使【つか】わないと子供【こども】のように聞【き】こえる。,"Use ます/です with anyone you don't know well: strangers, shopkeepers, doctors, teachers, coworkers. Use plain form with close friends and family. Not using ます with strangers sounds childish or rude. です also follows い-adjectives: 寒い → 寒いです. だ → です for nouns and な-adjectives.",ます/です形は知らない人・店員・医師・先生・同僚に使う。普通形は親しい友人・家族に使う。ます形を使わないと幼稚・失礼に聞こえる。です はい形容詞にも付く: 寒い → 寒いです。だ → です（名詞・な形容詞）。,10,
