id,category_id,title_minihongo,title_english,title_japanese,minihongo,english,japanese,sort_order,audio_file
story-8,cat-75,犬【いぬ】と私【わたし】,My Dog,犬と私,私【わたし】の家【いえ】に犬【いぬ】がいる。 名前【なまえ】はクロ。色【いろ】が黒【くろ】いからだ。 毎【まい】日【にち】、私【わたし】とクロは外【そと】に行【い】く。 クロは速【はや】く走【はし】る。私【わたし】は歩【ある】く。でも同【おな】じ道【みち】を行【い】く。 クロは鳥【とり】が好【す】きだ。 鳥【とり】を見【み】たら、走【はし】って行【い】く。でも鳥【とり】は飛【と】んで行【い】く。 クロは悲【かな】しい目【め】で私【わたし】を見【み】る。 私【わたし】は笑【わら】って言【い】う。「大丈夫【だいじょうぶ】。鳥【とり】は多【おお】い。」 夜【よる】、クロは私【わたし】の足【あし】の近【ちか】くで寝【ね】る。 クロがいるから、私【わたし】の心【こころ】はいつも明【あか】るい。,"There is a dog at my house. His name is Kuro, because his color is black. Every day, Kuro and I go outside. Kuro runs fast. I walk. But we go down the same road. Kuro likes birds. When he sees one, he runs after it. But the bird flies away. Kuro looks at me with sad eyes. I laugh and say, ""It's okay. There are many birds."" At night, Kuro sleeps near my feet. Because Kuro is here, my heart is always bright.",私の家に犬がいる。名前はクロ。色が黒いからだ。毎日、私とクロは外に行く。クロは速く走る。私は歩く。でも同じ道を行く。クロは鳥が好きだ。鳥を見たら、走って行く。でも鳥は飛んで行ってしまう。クロは悲しい目で私を見る。私は笑って言う。「大丈夫。鳥はたくさんいるよ。」夜、クロは私の足元で眠る。クロがいるから、私の心はいつも明るい。,1,s_8.mp3
story-9,cat-75,雨【あめ】の日【にち】,A Rainy Day,雨の日,今日【きょう】は雨【あめ】の日【にち】だ。 空【そら】は黒【くろ】い。外【そと】は寒【さむ】い。 私【わたし】は家【いえ】の中【なか】にいる。 雨【あめ】の音【おと】を聞【き】く。良【よ】い音【おと】だ。 本【ほん】を読【よ】む。水【みず】を飲【の】む。 犬【いぬ】は私【わたし】の近【ちか】くで寝【ね】ている。 母【はは】が食【た】べ物【もの】を作【つく】っている。 家【いえ】の中【なか】は明【あか】るい。 雨【あめ】の日【にち】は外【そと】に行【い】けない。でも悪【わる】くない。 家【いえ】の中【なか】にも、良【よ】い事【こと】が多【おお】い。,"Today is a rainy day. The sky is black. Outside it is cold. I am inside the house. I listen to the sound of the rain. It is a good sound. I read a book. I drink water. The dog is sleeping near me. Mother is making food. Inside the house it is bright. On rainy days I cannot go outside. But that is not bad. Inside the house, too, there are many good things.",今日は雨の日だ。空は暗い。外は寒い。私は家の中にいる。雨の音を聞く。いい音だ。本を読む。水を飲む。犬は私のそばで眠っている。母がご飯を作っている。家の中は明るい。雨の日は外に出られない。でも悪くない。家の中にも、いいことがたくさんある。,2,s_9.mp3
story-10,cat-75,新【あたら】しい服【ふく】,New Clothes,新しい服,私【わたし】の服【ふく】はもう良【よ】くない。 新【あたら】しい服【ふく】が欲【ほ】しい。 買【か】う所【ところ】に行【い】った。 服【ふく】が多【おお】くあった。青【あお】い服【ふく】と黒【くろ】い服【ふく】が良【よ】かった。 「すみません。この青【あお】い服【ふく】はいくらですか。」 「三千【さんぜん】円【えん】です。」 少【すこ】し高【たか】い。 「その黒【くろ】い服【ふく】はいくらですか。」 「千【せん】円【えん】です。」 私【わたし】は黒【くろ】い服【ふく】を選【えら】んだ。 千【せん】円【えん】を与【あた】えて、家【いえ】に来【き】た。 新【あたら】しい服【ふく】を着【き】た。 心【こころ】も新【あたら】しくなった。,"My clothes are no good anymore. I want new clothes. I went to the shop. There were many clothes. A blue one and a black one looked good. ""Excuse me. How much is this blue one?"" ""3,000 yen."" A little expensive. ""How much is that black one?"" ""1,000 yen."" I chose the black one. I paid 1,000 yen and came home. I put on the new clothes. My heart felt new too.",私の服はもう古い。新しい服が欲しい。店に行った。服がたくさんあった。青い服と黒い服が良かった。「すみません。この青い服はいくらですか。」「三千円です。」少し高い。「その黒い服はいくらですか。」「千円です。」私は黒い服を選んだ。千円を払って、家に帰った。新しい服を着た。気持ちも新しくなった。,3,s_10.mp3
story-5,cat-75,犬【いぬ】と鳥【とり】,The Dog and the Bird,犬と鳥,私【わたし】の犬【いぬ】は毎【まい】日【にち】外【そと】を歩【ある】く。 今【いま】日【にち】も道【みち】を歩【ある】いていた。 空【そら】に白【しろ】い雲【くも】があった。 その雲【くも】の下【した】で、鳥【とり】が飛【と】んでいた。 犬【いぬ】は上【うえ】を見【み】て、動【うご】かなくなった。 犬【いぬ】は飛【と】びたいと思【おも】った。でも足【あし】は土【つち】の上【うえ】にある。 その時【とき】、小【ちい】さい鳥【とり】が一【ひと】つ、木【き】の下【した】に来【き】た。 小【ちい】さい鳥【とり】は歩【ある】いていた。飛【と】ばなかった。 犬【いぬ】と鳥【とり】は同【おな】じ道【みち】を歩【ある】いた。 犬【いぬ】は分【わ】かった。空【そら】を飛【と】ばなくても、同【おな】じ所【ところ】に行【い】ける。 二【ふた】つの動物【どうぶつ】は、同【おな】じ風【かぜ】を感【かん】じていた。,"My dog walks outside every day. Today too, she was walking along the road. There were white clouds in the sky. Under those clouds, birds were flying. The dog looked up and stopped moving. The dog wanted to fly. But her legs are on the ground. Just then, one small bird came down under a tree. The small bird was walking. It was not flying. The dog and the bird walked the same road. The dog understood. Even without flying through the sky, you can go to the same place. The two animals were feeling the same wind.",私の犬は毎日外を歩く。今日も道を歩いていた。空に白い雲があった。その雲の下で、鳥が飛んでいた。犬は上を見て、動かなくなった。犬は飛びたいと思った。でも足は地面の上にある。その時、小さい鳥が一羽、木の下に降りてきた。小さい鳥は歩いていた。飛ばなかった。犬と鳥は同じ道を歩いた。犬は分かった。空を飛ばなくても、同じ場所に行ける。二匹の動物は、同じ風を感じていた。,4,s_5.mp3
story-4,cat-75,子供【こども】の「なぜ」,A Child's Question,子供の「なぜ」,子供【こども】はいつも「なぜ？」と聞【き】いた。 「なぜ空【そら】は青【あお】いの？」と父【ちち】に聞【き】いた。 父【ちち】は「光【ひかり】だよ」と言【い】った。 「なぜ光【ひかり】は青【あお】くなるの？」と子供【こども】は言【い】った。 父【ちち】は考【かんが】えた。「空【そら】だよ」と言【い】った。 「なぜ空【そら】はそこにあるの？」 父【ちち】は口【くち】を閉【し】めた。 「なぜ私【わたし】は生【い】きているの？」と子供【こども】は言【い】った。 父【ちち】は子供【こども】を見【み】た。 夜【よる】になって、二【ふた】りは外【そと】に出【で】た。 空【そら】に多【おお】くの光【ひかり】があった。 子供【こども】は「きれい」と言【い】った。今【いま】は「なぜ」を言【い】わなかった。 父【ちち】はその事【こと】を感【かん】じて、笑【わら】った。,"The child always asked ""why?"" ""Why is the sky blue?"" she asked her father. ""It's the light,"" he said. ""Why does the light become blue?"" the child said. The father thought. ""It's the air,"" he said. ""Why is the air there?"" The father closed his mouth. ""Why am I alive?"" the child said. The father looked at the child. When night came, the two went outside. There were many lights in the sky. The child said ""beautiful."" This time she did not say ""why."" The father felt that, and smiled.",子供はいつも「なぜ？」と聞いた。「なぜ空は青いの？」と父に聞いた。父は「光だよ」と言った。「なぜ光は青くなるの？」と子供は言った。父は考えた。「空気だよ」と言った。「なぜ空気はそこにあるの？」父は口を閉じた。「なぜ私は生きているの？」と子供は言った。父は子供を見つめた。夜になって、二人は外に出た。空にたくさんの光があった。子供は「きれい」と言った。今度は「なぜ」とは言わなかった。父はそれを感じて、微笑んだ。,5,s_4.mp3
story-11,cat-75,「おはよう」から「おやすみ」まで,"From ""Ohayou"" to ""Oyasumi""",「おはよう」から「おやすみ」まで,七【しち】時【じ】。日【にち】が始【はじ】まる。 「おはよう」と母【はは】に言【い】う。母【はは】も「おはよう」と言【い】う。 食【た】べる前【まえ】に「いただきます」。 食【た】べた後【あと】に「ごちそうさま」。 八【はち】時【じ】に家【いえ】から出【で】る。 道【みち】で、家【いえ】が近【ちか】い人【ひと】に会【あ】う。 「こんにちは。良【よ】い日【にち】ですね。」 「こんにちは。今日【きょう】は明【あか】るいですね。」 私【わたし】は教【おし】える所【ところ】に行【い】く。 新【あたら】しい言葉【ことば】を知【し】る事【こと】は楽【たの】しい。 夜【よる】、空【そら】が黒【くろ】くなる。 「こんばんは」と月【つき】に言【い】う。 月【つき】は何【なに】も言【い】わない。でも明【あか】るい。 九【く】時【じ】に寝【ね】る。「おやすみ」と言【い】う。 言葉【ことば】で日【にち】が始【はじ】まって、言葉【ことば】で日【にち】が終【お】わる。,"Seven o'clock. The day begins. I say ""good morning"" to my mother. She says ""good morning"" too. Before eating, ""itadakimasu"". After eating, ""gochisousama"". At eight I leave the house. On the road I meet a neighbor. ""Hello. Nice day, isn't it?"" ""Hello. It's bright today."" I go to the teaching place. Learning new words is fun. At night, the sky turns black. I say ""good evening"" to the moon. The moon says nothing. But it shines. At nine I go to bed. I say ""good night"". The day begins with words, and the day ends with words.",七時。一日が始まる。「おはよう」と母に言う。母も「おはよう」と言う。食べる前に「いただきます」。食べた後に「ごちそうさま」。八時に家を出る。道で近所の人に会う。「こんにちは。いい日ですね。」「こんにちは。今日は明るいですね。」私は学校に行く。新しい言葉を学ぶのは楽しい。夜、空が暗くなる。「こんばんは」と月に言う。月は何も言わない。でも明るく光っている。九時に寝る。「おやすみ」と言う。言葉で一日が始まり、言葉で一日が終わる。,6,s_11.mp3
story-6,cat-75,遠【とお】い所【ところ】の魚【さかな】,Fish from a Far Place,遠い所の魚,私【わたし】は腹【はら】に食【た】べ物【もの】がなかった。 外【そと】に出【で】て、食【た】べ物【もの】を買【か】いに行【い】った。 「すみません。魚【さかな】はありますか。」と聞【き】いた。 男【おとこ】の人【ひと】は言【い】った。「はい、あります。この魚【さかな】は遠【とお】い海【うみ】から来【き】ました。とても良【よ】い魚【さかな】です。」 「肉【にく】もありますか。」 「はい。肉【にく】と卵【たまご】もあります。」 私【わたし】は魚【さかな】と卵【たまご】を選【えら】んだ。 「全部【ぜんぶ】でいくらですか。」 「三【さん】百【びゃく】円【えん】です。」 少【すこ】し高【たか】いと思【おも】った。でも遠【とお】い所【ところ】の魚【さかな】だから。 お金【かね】を与【あた】えて、家【いえ】に来【き】た。 魚【さかな】と卵【たまご】で食【た】べ物【もの】を作【つく】った。 腹【はら】に食【た】べ物【もの】が入【はい】って、体【からだ】が温【あたた】かくなった。 たぶん後【あと】の日【にち】も、あの魚【さかな】を買【か】いに行【い】く。,"I had no food in my belly. I went outside to buy food. ""Excuse me. Do you have fish?"" I asked. The man said, ""Yes, we do. This fish came from a far sea. It is very good fish."" ""Do you have meat too?"" ""Yes. We have meat and eggs too."" I chose fish and eggs. ""How much is it all?"" ""Three hundred yen."" I thought it was a little expensive. But the fish is from a far place. I gave the money and went home. I made food with the fish and eggs. Food entered my belly, and my body became warm. Maybe tomorrow I will go buy that fish again.",私はお腹に食べ物がなかった。外に出て、食べ物を買いに行った。「すみません。魚はありますか。」と聞いた。男の人は言った。「はい、あります。この魚は遠い海から来ました。とても良い魚です。」「肉もありますか。」「はい。肉と卵もあります。」私は魚と卵を選んだ。「全部でいくらですか。」「三百円です。」少し高いと思った。でも遠い所の魚だから。お金を渡して、家に帰った。魚と卵で料理を作った。お腹に食べ物が入って、体が温かくなった。たぶん明日も、あの魚を買いに行く。,7,s_6.mp3
story-12,cat-75,母【はは】がくれた本【ほん】,The Book Mother Gave Me,母がくれた本,子供【こども】の時【とき】、母【はは】が本【ほん】をくれた。 小【ちい】さくて、赤【あか】い本【ほん】だった。 「この本【ほん】は、私【わたし】の母【はは】からもらった物【もの】だ。今【いま】、あなたにあげる」と母【はは】は言【い】った。 私【わたし】は毎【まい】夜【よる】、その本【ほん】を読【よ】んだ。 分【わ】からない言葉【ことば】があったら、母【はは】に聞【き】いた。 母【はは】はいつも教【おし】えてくれた。 年【とし】が多【おお】く変【か】わった。 私【わたし】は大【おお】きくなった。母【はは】の髪【かみ】は白【しろ】くなった。 今【いま】、私【わたし】に子供【こども】がいる。 夜【よる】、子供【こども】が言【い】う。「その赤【あか】い本【ほん】を読【よ】んでください。」 私【わたし】は笑【わら】って、読【よ】んであげる。 この本【ほん】は物【もの】だけじゃない。母【はは】の心【こころ】だ。 たぶん後【あと】で、私【わたし】の子供【こども】も、この本【ほん】を子供【こども】にあげる。,"When I was a child, my mother gave me a book. It was small and red. ""This book is something I received from my mother. Now I give it to you,"" she said. Every night I read that book. When there was a word I did not understand, I asked my mother. She always taught me. Many years changed. I grew big. My mother's hair turned white. Now I have a child. At night, my child says, ""Please read that red book."" I laugh and read it to them. This book is not just a thing. It is my mother's heart. Maybe later, my child will give this book to their child too.",子供の時、母が本をくれた。小さくて、赤い本だった。「この本は、私が母からもらった物よ。今、あなたにあげる」と母は言った。私は毎晩、その本を読んだ。分からない言葉があったら、母に聞いた。母はいつも教えてくれた。何年も経った。私は大きくなった。母の髪は白くなった。今、私には子供がいる。夜、子供が言う。「その赤い本を読んで。」私は笑って、読んであげる。この本はただの物じゃない。母の心だ。たぶんいつか、私の子供も、この本を自分の子供にあげるだろう。,8,s_12.mp3
story-3,cat-75,大【おお】きい木【き】,The Old Tree,大きな木,山【やま】の中【なか】に一【ひと】つの大【おお】きい木【き】があった。 その木【き】はとても長【なが】い時【とき】を生【い】きていた。 木【き】は多【おお】くの雨【あめ】を知【し】っていた。多【おお】くの風【かぜ】を感【かん】じていた。 子供【こども】たちが来【き】て、木【き】の上【うえ】で楽【たの】しんだ。その子供【こども】たちは大【おお】きくなって、出【で】て行【い】った。 戦【たたか】いがあった。人【ひと】たちは木【き】の近【ちか】くで泣【な】いた。 木【き】は動【うご】かなかった。立【た】っているだけだった。 動物【どうぶつ】たちが木【き】の中【なか】に入【はい】って、寝【ね】た。 草【くさ】が毎【まい】年【とし】木【き】の近【ちか】くに出【で】てきた。そして終【お】わった。 でも木【き】はまだある。 ある日【にち】の夜【よる】、一【ひと】りの女【おんな】が来【き】た。 女【おんな】は木【き】に手【て】を持【も】って、何【なに】も言【い】わなかった。 木【き】も何【なに】も言【い】わなかった。でも二【ふた】つの心【こころ】は一【ひと】つになった。,In the mountains there was one great tree. It had been alive for a very long time. The tree knew many rains. It had felt many winds. Children came and played up in its branches. Those children grew large and went away. There was fighting. People cried near the tree. The tree did not move. It only stood. Animals entered the tree and slept. Flowers came up near the tree every year. And then ended. But the tree is still here. One evening a woman came. She placed her hand against the tree and said nothing. The tree also said nothing. But their two hearts became one.,山の中に一本の大きな木があった。その木はとても長い時を生きてきた。木は多くの雨を知っていた。多くの風を感じてきた。子供たちがやって来て、木の上で遊んだ。その子供たちは大きくなって、去っていった。戦いがあった。人々は木のそばで泣いた。木は動かなかった。ただ立っていた。動物たちが木の中に入って、眠った。花が毎年木のそばに咲いた。そして散った。でも木はまだここにある。ある夜、一人の女がやって来た。女は木に手を当てて、何も言わなかった。木も何も言わなかった。でも二つの心は一つになった。,9,s_3.mp3
story-13,cat-75,頭【あたま】が痛【いた】い日【にち】,The Day My Head Hurt,頭が痛い日,今日【きょう】、頭【あたま】がとても痛【いた】かった。 体【からだ】も重【おも】かった。 母【はは】が「大丈夫【だいじょうぶ】？」と聞【き】いた。 「大丈夫【だいじょうぶ】じゃない。頭【あたま】が痛【いた】い。」 母【はは】と、体【からだ】を助【たす】ける所【ところ】に行【い】った。 体【からだ】を助【たす】ける人【ひと】が聞【き】いた。「どこが痛【いた】いですか。」 「ここです。頭【あたま】です。寝【ね】る事【こと】ができないんです。」 「分【わ】かりました。大丈夫【だいじょうぶ】ですよ。この体【からだ】を良【よ】くする物【もの】を飲【の】んでください。」 体【からだ】を良【よ】くする物【もの】をもらった。 家【いえ】で水【みず】と飲【の】んで、寝【ね】た。 後【あと】の日【にち】、頭【あたま】は痛【いた】くなかった。 体【からだ】が良【よ】くなったら、心【こころ】も明【あか】るくなった。 「痛【いた】い」と言【い】える事【こと】は、とても必要【ひつよう】な事【こと】だ。,"Today my head hurt badly. My body was heavy too. Mother asked, ""Are you okay?"" ""Not okay. My head hurts."" I went with my mother to the body-helping place. The body-helping person asked, ""Where does it hurt?"" ""Here. My head. The thing is, I cannot sleep."" ""I understand. You will be all right. Please take this body-fixing thing."" I received the medicine. At home I took it with water and slept. The next day, my head did not hurt. When my body got better, my heart got brighter too. Being able to say ""it hurts"" is a very necessary thing.",今日、頭がとても痛かった。体も重かった。母が「大丈夫？」と聞いた。「大丈夫じゃない。頭が痛い。」母と病院に行った。お医者さんが聞いた。「どこが痛いですか。」「ここです。頭です。眠れないんです。」「分かりました。大丈夫ですよ。この薬を飲んでください。」薬をもらった。家で水と一緒に飲んで、寝た。次の日、頭は痛くなかった。体が良くなったら、心も明るくなった。「痛い」と言えることは、とても大切なことだ。,10,s_13.mp3
